Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
DIALOGUE_YES	s	s	Yes	Oui	Ja	Sí	Sì
DIALOGUE_NO	s	s	No	Non	Nein	No	No
DIALOGUE_OK	s	s	Select	Sélectionner	Auswählen	Seleccionar	Scegli
DIALOGUE_CANCEL	s	s	Back	Retour	Zurück	Atrás	Indietro
DIALOGUE_OKCANCEL	s	s	@(cross) Ok  @(triangle) Cancel	@(cross) OK  @(triangle) Annuler	@(cross) Ok  @(triangle) Abbrechen	@(cross) Ok  @(triangle) Cancelar	@(cross) OK  @(triangle) Annulla
DIALOGUE_CROSSOK	s	s	@(cross) Ok	@(cross) OK	@(cross) Ok	@(cross) Ok	@(cross) OK
DIALOGUE_TRIANGLECLOSE	s	s	@(triangle) Close	@(triangle) Fermer	@(triangle) Schließen	@(triangle) Cerrar	@(triangle) Chiudi
FRONTEND_ON	s	s	On	Oui	An	Sí	Sì
FRONTEND_OFF	s	s	Off	Non	Aus	No	No
BOSS_SIDE_TAZ	s	s	Taz	Taz	Taz	Taz	Taz
BOSS_SIDE_ENEMY	s	s	Enemy	Ennemi	Gegner	Enemigo	Nemico
MEMCARD_RETRYCANCEL	s	s	@(cross) Retry  @(triangle) Cancel	@(cross) Réessayer  @(triangle) Annuler	@(cross) Neuer Versuch  @(triangle) Abbrechen	@(cross) Reintentar  @(triangle) Cancelar	@(cross) Riprova  @(triangle) Annulla
MEMCARD_RETRYFORMATCANCEL	s	s	@(cross) Retry  @(circle) Format  @(triangle) Cancel	@(cross) Réessayer  @(circle) Formater  @(triangle) Annuler	@(cross) Neuer Versuch  @(circle) Format  @(triangle) Abbrechen	@(cross) Reintentar  @(circle) Formatear  @(triangle) Cancelar	@(cross) Riprova  @(circle) Formatta  @(triangle) Annulla
MEMCARD_MEDIAFULL_OPTS	s	s	@(cross) Retry  @(circle) Make space  @(triangle) Cancel	@(cross) Réessayer  @(circle) Faire de la place  @(triangle) Annuler	@(cross) Neuer Versuch @(circle) Speicherplatz freimachen  @(triangle) Abbrechen	@(cross) Reintentar  @(circle) Crear espacio  @(triangle) Cancelar	@(cross) Riprova  @(circle) Libera spazio @(triangle) Annulla
MEMCARD_MEDIAFULL_CHOOSE_OPTS	s	s	@(cross) Delete  @(triangle) Back	@(cross) Effacer  @(triangle) Retour	@(cross) Löschen  @(triangle) Zurück	@(cross) Borrar  @(triangle) Atrás	@(cross) Elimina  @(triangle) Indietro
MEMCARD_MEDIAFULL_CONFIRM_OPTS	s	s	@(cross) Delete  @(triangle) Cancel	@(cross) Effacer  @(triangle) Annuler	@(cross) Löschen  @(triangle) Abbrechen	@(cross) Borrar  @(triangle) Cancelar	@(cross) Elimina  @(triangle) Annulla
MEMCARD_CANCELED	s	s	Cancelled	Annulé	Abgebrochen	Cancelado	Eliminati
MFX_MARQUEE1	These 9 lines of text are randomly printed on the screen-saver display on the computer screens in the museum.	s	http://www.BlitzGames.com	http://www.BlitzGames.com	http://www.BlitzGames.com	http://www.BlitzGames.com	http://www.BlitzGames.com
MFX_MARQUEE2	s	s	Quiet Please	"Silence, s'il vous plaît"	Ruhe Bitte	Silencio por favor	Silenzio prego
MFX_MARQUEE3	s	s	Taz: Wanted	Taz : Wanted	Taz: Wanted	Taz: Wanted	Taz: Wanted
MFX_MARQUEE4	s	s	Please do not touch the exhibits	Prière de ne toucher à rien	Bitte die Ausstellungsstücke nicht berühren	Se ruega no tocar los objetos expuestos	Non toccare gli oggetti in esposizione
MFX_MARQUEE5	s	s	test string number 1	test string number 1	test string number 1	test string number 1	test string number 1
MFX_MARQUEE6	s	s	OUT OF ORDER	EN PANNE	AUSSER BETRIEB	FUERA DE SERVICIO	FUORI SERVIZIO
MFX_MARQUEE7	s	s	All breakages must be paid for	Qui casse paye	Alle Schäden müssen bezahlt werden	Quién rompe... paga	"Chi rompe, paga..."
MFX_MARQUEE8	s	s	To access the Supreme Gullibility cheat: stand in the toilet cubicle and press @(d left) and @(d right) together	"Pour accéder au code triche Supreme Gullibility, mettez-vous debout sur les toilettes et appuyez simultanément sur les touches @(d left) et @(d right) "	"Um den Leichtgläubigkeitscheat zu aktivieren, musst du dich in die Toilettenkabine stellen und gleichzeitig die Tasten @(d left) und @(d right) drücken"	Para acceder al truco de Súper-Timo entra en el servicio y pulsa los botones @(d left) y @(d right) a la vez.	Per accedere alla modalità 'supergabola': entra nella toilette e premi i tasti @(d left) e @(d right) insieme.
MFX_MARQUEE9	s	s	ACME SCREEN SAVER	ECONOMISEUR D'ECRAN ACME	ACME BILDSCHIRMSCHONER	PROTECTOR DE PANTALLA ACME	SALVASCHERMO ACME
COUNTDOWN_1	Obviously a numeric countdown.	s	1	1	1	1	1
COUNTDOWN_2	s	s	2	2	2	2	2
COUNTDOWN_3	s	s	3	3	3	3	3
COUNTDOWN_4	s	s	4	4	4	4	4
COUNTDOWN_5	s	s	5	5	5	5	5
COUNTDOWN_GETREADY	Printed before the countdown starts.	s	GET READY...	PRÊT ?	FERTIG...	PREPARADOS...	PRONTI...
COUNTDOWN_GO	Printed at the start of a boss game/race game.	s	GO!	PARTEZ !	LOS!	¡YA!	VIA!
RACE_CHECKPOINT	Printed as the player passes through race-style checkpoints.	s	Checkpoint!	Point de contrôle !	Kontrollpunkt!	¡Control!	Intermedio!
ZOOBOSS_ELEPHANTID	Joke Latin translation in the style of the Road Runner cartoons.	s	PACHYDERMUS PONGUS\n(Elephant Pong)	PACHYDERMUS PONGUS\n(Eléphant Pong)	PACHYDERMUS PONGUS\n(Elefanten-Pong)	PAQUIDERMUS PONGUS\n(Elefantín Pong)	PACHYDERMUS PONGUS\n(Elefant-Pong)
ZOOBOSS_SCAREPROMPT	On-screen instructions in the Elephant Pong game telling the player to press the SQUARE button to scare the elephant by making Taz rant.	s	@(square) SCARE!	@(square) BOUH !	@(square) ERSCHRECK IHN!	@(square) ¡SUSTO!	@(square) PANICO!
ZOOBOSS_GOAL	Player scores a goal in the Elephant Pong game.	s	GOAL!	BUT !	TOR!	¡TANTO!	PUNTO!
ZOOBOSS_LOSEPOINT	"Player lets the elephant past and into his own goal, allowing Gossamer to score in the Elephant Pong game."	s	OOPS!	OUPS !	HUCH!	"¡VAYA, HOMBRE!"	OOOPS!
ZOOBOSS_WIN	Printed at the end of the Elephant Pong game if Taz wins.	s	YOU WIN!	GAGNÉ !	DU GEWINNST!	¡HAS GANADO!	HAI VINTO!
ZOOBOSS_LOSE	Printed at the end of the Elephant Pong game if Taz loses.	s	YOU LOSE!	PERDU !	DU VERLIERST!	¡HAS PERDIDO!	HAI PERSO!
ZOOBOSS_TRYAGAIN	Printed on-screen after the player loses in the Elephant Pong game.	s	@(cross) Try again @(triangle) Quit	@(cross) Réessayer @(triangle) Quitter	@(cross) Neuer Versuch @(triangle) Beenden	@(cross) Volver a intentar @(triangle) Salir	@(cross) Riprova @(triangle) Esci
ZOOBOSS_SCORE	On-screen display of the score in the Elephant Pong game. The %d is used by us and is replaced with the actual score value.	s	SCORE: %d	SCORE : %d	PUNKTE: %d	PUNTUACIÓN: %d	PUNTEGGIO: %d
MUSEUM_INTROCAM1	s	museum_introcam1.wav	"Mirror, mirror on the wall, who is the furriest Taz of all? Eh, that's no reflection on you, Mr. Puddy Taz."	"Miroir, miroir sur le mur, qui est le Tazounet qui a fière allure ? Mais non , mais non, c'est pas ton reflet."	"Spieglein, Spieglein an der Wand, wer is' der haarigste Taz im Land?! Eh, damit will is dir nich' den Spiegel vorhalten, Mister Mieze-Taz!"	"Espejito, espejito ¿quién es el Taz más peludito? Eh, no lo digo por ti, señor lindo Taz."	"Specchio, specchio delle mie blame, chi è il diavoletto più peloso del leame? Non è una liflessione che ligualda te, Taz."
MUSEUM_INTROCAM2	s	museum_introcam2.wav	You gotta get switched on to get this!	"Il faut faire levier, comme disait l'autre !"	"Man muss ziemlich schnell schalten, um das hier zu triegen!"	¡Necesitas mucho enchufe para conseguirlo!	Questa volta ci vollebbe un'idea illuminante.
MUSEUM_INTROCAM3	s	museum_introcam3.wav	"Heads I win, tails you lose!"	"Face je gagne, pile tu perds !"	"Topf, ich dewinne, Zahl, du verlierst!"	"¡Cara, yo gano; cruz, tú pierdes!"	"Testa vinco io, cloce peldi tu."
MUSEUM_INTROCAM4	s	museum_introcam4.wav	"It's a puzzle, isn't it?"	"C'est un puzzle, n'est-ce pas?"	"Is'n ziemliches Puzzle, huh?!"	Es un enigma ¿verdad?	"Ti senti a pezzi, velo?"
MUSEUM_INTROCAM5	s	museum_introcam5.wav	"Taking control will see the hologram, holo-gone!"	"Ame, strame, grame, pique et contrôle hologramme !"	"Erdreift man die Tontrolle, is' das Holodramm auch sson weg!"	¡Con un poco de control veremos cómo desaparece el holograma!	"Cledimi, Taz, l'ologlamma spalilà se la collente se ne andlà."
MUSEUM_INTROCAM6	s	museum_introcam6.wav	You can make a clean start here Puddy Taz.	"Avant de commencer, il faut faire le ménage !"	"Hier tannst du die Sache ins Reine bringen, Mieze-Taz!"	"Lindo Taz, aquí puedes empezar limpiamente."	"Qui devi ploplio fale piazza pulita, diavoletto."
MUSEUM_INTROCAM7	s	museum_introcam7.wav	Is that somebody's idea of a water park?  P.U.!	"Il appelle ça un parc aquatique ? Je suis ""septique"" !"	Soll das etwa sowas wie ein Wasser-Park sein?! Igiit!!	¿Esto es un parque acuático? ¿A quién se le habrá ocurrido? ¡Por favor!	Questa specie di acqua-palk è una vela schifezza!
